A,B,C,D,E,F,G
商品编号,商品名称,二级分类,三级分类,首次入库时间,销量7天band,点击7天band
10450541,商务策划丛书·市场实验设计,大中专教材教辅,大学教材,2011/3/27,F,F
10450775,韩国语听力轻松学（初级）（附光盘）,外语学习,韩语,2011/3/27,F,F
10451127,内地与香港刑事司法合作研究,法律,理论法学,2011/3/28,F,F
10451148,数控考工实训/21世纪全国高职高专机电类规划教材,大中专教材教辅,高职高专教材,2011/3/27,F,F
10457693,社会资本与企业行为选择：一个理论框架及其在中国情境中的实证检验,管理,管理学,2011/3/28,F,F
10465391,国际经济法学刊（第14卷，第3期）（2007）,法律,法律期刊,2011/3/28,F,F
10465394,工程概预算/21世纪全国高校土建物管类规划教材,大中专教材教辅,大学教材,2011/3/29,F,F
10472117,中华兵学的魅力：中国兵学文化引论,政治/军事,中国军事,2011/3/28,E,E
10474261,日本地方政府法选编,法律,外国法律与港澳台法律,2011/3/26,F,F
10478254,中国现代化报告2009：文化现代化研究,政治/军事,中国政治,2011/3/26,F,F
10538454,清代《孟子》学史大纲,哲学/宗教,中国哲学,2011/3/24,E,E
10538461,北平的大学教育与文学生产：1928-1937,社会科学,教育,2011/3/24,F,F
10558009,劳动关系与争议处理：政策与实务,大中专教材教辅,大学教材,2011/6/24,F,E
10592067,中国古代文学作品选（上）,文学,文学理论,2011/6/24,F,F
10592104,大学商务英语翻译教程,外语学习,大学英语,2011/6/24,F,E
10592166,国家地理阅读与写作训练 你在月球上有多重（中文版）,中小学教辅,中小学课外读物,2011/5/30,F,F
10592173,国际商法（第2版）/21世纪全国高职高专国际商务专业规划教材,大中专教材教辅,高职高专教材,2011/6/24,F,F
10592280,Java实用案例教程/21世纪全国高职高专计算机安全型规划教材,大中专教材教辅,高职高专教材,2011/6/24,F,F
10592413,2009年注会考试提高阶段应试指导及全真模拟测试：会计,考试,会计类考试,- ,F,F
10592518,21世纪全国应用型本科财经管理系列实用规划教材：国际贸易实务,大中专教材教辅,大学教材,- ,F,F
10592561,卫生服务研究方法,医学,预防医学、卫生学,2013/9/11,F,E
10592615,法语发音与纠音,外语学习,法语,2011/4/18,F,E
10592783,高等教育学历文凭考试全国统一课程：高等数学（学习指导书）,大中专教材教辅,大学教材,2011/4/19,F,F
10592906,马克思主义政治学著作选读,大中专教材教辅,大学教材,2011/4/16,F,F
10592990,电子商务与现代物流/面向21世纪电子商务专业核心课程系列教材,大中专教材教辅,大学教材,2011/4/18,F,F
10593012,张青莲文集,科学与自然,自然科学丛书、文集、连续性出版物,2011/4/18,F,F
10593029,探求智慧之旅：哈佛、麻省理工著名经济学家访谈录（缩写本）,经济,经济学理论,- ,F,F
10593194,论经济行政法的制度结构：交易费用的视角,法律,经济法,2011/4/19,F,F
10593285,国际民商事及经贸争端解决途径专论,法律,经济法,2011/4/18,F,F
10593287,新世纪研究生高级英语写作教程,外语学习,大学英语,2011/4/16,F,F
10593319,工商管理培训系列教程：组织行为学（第2版）,大中专教材教辅,高职高专教材,2011/4/18,F,F
10593431,英语学习背景知识：欧洲概观,外语学习,英语读物,2011/4/18,F,F
10593437,刑法学各论（第2版）/21世纪法学系列教材·刑事法律系列,大中专教材教辅,大学教材,2011/4/18,F,F
10593441,世界传播学经典教材：公共演讲基础（第2版）（英文影印版）,大中专教材教辅,大学教材,2011/4/19,F,F
10593483,中国当代电影史：1977年以来/21世纪新闻与传播学系列教材,大中专教材教辅,大学教材,2011/4/18,F,F
10593502,北大商业评论（2004/04第2辑）,管理,企业管理与培训,- ,F,F
10593503,百年法学：北京大学法学院院史（1904-2004）,法律,理论法学,2011/4/18,F,F
10593589,私法（第4辑）（第1卷）（总第7卷）,法律,国际法,2011/4/18,F,F
10593596,新编电子商务案例（第2版）/21世纪电子商务专业核心课程系列教材,大中专教材教辅,大学教材,2011/4/18,F,F
10593630,北大版新一代对外汉语教材·商务汉语教程系列：中级商务汉语教程（上）,大中专教材教辅,大学教材,2011/4/18,F,E
10593638,MBA高级管理英语：DIY精练光盘,外语学习,职业/行业英语,2011/4/18,F,F
10593703,北大版HSK应试辅导丛书：HSK考前30天冲刺,考试,汉语/小语种考试,2011/4/18,F,F
10593709,公共关系理论与实务/21世纪新闻与传播学系列教材,大中专教材教辅,大学教材,2011/4/18,F,F
10593832,瞬态动力学CAE解决方案：MSC.Dytran基础教程,大中专教材教辅,大学教材,2011/4/18,F,E
10593858,管理学经典入门教材：信息技术与管理（第2版）（英文改编版）,大中专教材教辅,大学教材,2011/4/18,F,F
