A,B,C,D,E,F,G
商品编号,商品名称,二级分类,三级分类,首次入库时间,销量7天band,点击7天band
10384252,成本费用核算,大中专教材教辅,高职高专教材,2011/1/19,F,E
10394559,房地产法精要与依据指引（增订本）,法律,理论法学,2011/2/14,E,E
10409668,别急！韩语阅读可以很开心（上）,外语学习,韩语,2011/2/23,F,F
10429449,环境法法典化研究,法律,经济法,2011/3/28,F,F
10430854,中国孩子最喜爱的情感读本：为自己喝彩,童书,儿童文学,2011/3/27,F,F
10431183,办公设备使用技术/21世纪全国高职高专文秘类规划教材,大中专教材教辅,高职高专教材,2011/3/27,F,F
10435506,远山，有座雕像（附光盘）,童书,儿童文学,2011/3/27,F,F
10437617,物性论,哲学/宗教,哲学理论与流派,2011/3/28,F,E
10447191,当代国际法论丛（第6卷）,法律,国际法,2011/3/27,F,F
10447940,1917年俄罗斯纪事,历史,世界史,2011/3/27,E,E
10455495,用脑做事,管理,领导学,2011/3/27,F,F
10457151,宪法制度与法治政府,法律,国家法、宪法,2011/3/27,F,E
10457576,市场营销学/21世纪全国高职高专财经管理类规划教材,大中专教材教辅,高职高专教材,2011/3/27,F,F
10457661,园林植物病虫害防治/21世纪全国高职高专农业园艺类规划教材,大中专教材教辅,高职高专教材,2011/3/27,F,F
10458710,C++程序设计基础案例教程/21世纪全国应用型本科计算机案例规划教材,大中专教材教辅,大学教材,2011/3/29,F,F
10460165,寂寞求真,文学,中国文学,2011/3/29,E,E
10461329,现代教育技术/21世纪全国高等院校规划教材,大中专教材教辅,大学教材,2011/3/27,F,F
10461624,建筑装饰工程施工组织与管理/21世纪全国高职高专土建物管类规划教材,大中专教材教辅,高职高专教材,2011/3/27,F,F
10463083,21世纪全国高职高专英语类规划教材：英语6国概况,大中专教材教辅,高职高专教材,2011/3/27,F,F
10463501,刑事程序法论丛：我国刑事诉讼模式的选择,法律,诉讼法,2011/3/27,F,F
10463969,管理：未名之道,管理,管理学,2011/3/28,F,F
10465466,物流设施与设备/21世纪全国高职高专物流类规划教材,大中专教材教辅,高职高专教材,2011/3/28,F,F
10466970,高等院校经济学管理学系列教材—公共经济学,大中专教材教辅,大学教材,2011/3/27,F,F
10468853,地基与基础/21世纪全国高职高专土建系列技能型规划教材,大中专教材教辅,高职高专教材,2011/3/29,F,F
10468854,北大版对外汉语教材·语法教程系列：对外汉语教学核心语法,大中专教材教辅,大学教材,2011/3/29,F,F
10469945,铁路轮渡系统集成模式与实践,工业技术,交通运输,2011/3/28,F,F
10470990,高等学校法学教学参考用书：经济法案例法规选编,大中专教材教辅,大学教材,2011/3/27,F,F
10470996,轻松汉语：中级汉语听力（上册）（附MP3光盘1张）,外语学习,对外汉语,2011/3/27,F,E
10472433,WTO保障措施成案研究（1995-2005年）,法律,国际法,2011/3/28,F,F
10477148,中国国家汉办规划教材：当代中文课本（第2册）（附MP3光盘1张）,大中专教材教辅,大学教材,2011/3/27,F,F
10483859,职场商务韩国语,外语学习,韩语,2011/2/28,F,E
10538464,理解梅洛.庞蒂：梅洛.庞蒂在当代,哲学/宗教,西方哲学,2011/3/24,F,F
10557944,高等学校教材：高等弹性力学,大中专教材教辅,大学教材,2011/4/23,E,F
10557996,专业硕士研究生英语自学手册,外语学习,大学英语,2011/4/24,F,F
10558019,基层民主与社区治理,政治/军事,中国政治,2011/4/23,F,E
10560240,TOLD模式：引爆中国旅游地产,经济,行业经济,2011/4/17,F,E
10592059,动物行为学,大中专教材教辅,大学教材,2011/6/24,F,E
10592064,教师礼仪概论,社会科学,教育,2011/5/30,F,E
10592098,毛泽东思想概论,大中专教材教辅,大学教材,2011/6/24,E,E
10592157,小学晨读课本：6年级上册（注音版）,中小学教辅,小学六年级,2011/5/30,F,F
10592348,东南亚考察论郑和,历史,中国史,2011/6/24,F,E
10592415,新时期课堂教学技能培训教程,社会科学,教育,2011/5/30,F,F
10592422,桂壮红皮书·中考试题分类精选：思想品德（人教版）,中小学教辅,中考,- ,F,E
10592444,2012高考全程复习单元卷：地理（湘教版）,中小学教辅,高考,- ,F,F
10592651,全宋诗11,文学,诗歌词曲,2011/4/18,F,E
10592818,全宋诗48,文学,诗歌词曲,2011/4/18,F,F
10593025,法律监督论纲,法律,理论法学,- ,F,F
10593026,证券投资基金管理人的责任,法律,经济法,2011/4/19,F,F
10593390,孙宗光先生喜寿纪念论文集：日本语言与文化,文化,世界各国文化,2011/4/18,F,F
10593500,北大版新一代对外汉语教材·旅游汉语教程系列：观光汉语（韩国学生用书）（上册）,大中专教材教辅,大学教材,2011/4/18,F,E
10593554,全国硕士研究生入学考试辅导教程系列精品丛书·2010年全国硕士研究生入学考试辅导教程：英语分册（第5版）,考试,考研英语,2011/4/18,F,F
10593558,晚清各级审判厅研究,法律,法律史,2011/4/19,F,E
10593576,普通高等教育“十五”国家级规划教材：高等数学（下册）,大中专教材教辅,大学教材,2011/4/19,F,F
10593579,建安七子研究,文学,文学理论,2011/4/18,F,F
10593686,中学英语同步练习：初3（第5册）（新课标）,中小学教辅,初三/九年级,2011/4/19,F,F
10593687,破解竞争力陷阱：著名企业家在北大的演讲（2）,管理,管理学,2011/4/18,F,F
10593730,俄罗斯文学名著选读（下卷）/21世纪外国文学系列教材,大中专教材教辅,大学教材,2011/4/18,F,F
10593766,高考红皮书·全国名校新编标准卷：数学（2009年版）,中小学教辅,高考,2011/4/19,F,F
10593887,北大版对外汉语教材·报刊阅读教程系列·轻松读报：中文报刊泛读教程（高级2）,大中专教材教辅,大学教材,2011/4/18,F,F
10593895,北大版新一代对外汉语教材·实用汉语教程系列·实践汉语进阶：中级汉语口语（英日韩文注释本）,大中专教材教辅,大学教材,2011/4/18,F,E
10594060,知识产权法学案例教程/21世纪法学系列教材教学案例,大中专教材教辅,大学教材,2011/4/18,F,E
10594065,北大版对外汉语教材·基础教程系列：新汉语高级教程（上册）（附MP3光盘1张）,大中专教材教辅,大学教材,2011/4/19,F,F
10594135,侵权归责原则与损害赔偿,法律,民法,2011/4/18,E,E
10594152,新电脑学校：Dreamweaver MX篇,计算机与互联网,网页制作/Web技术,- ,F,F
10594260,蜗牛的一个半愿望,中小学教辅,中小学作文辅导,2011/4/18,F,F
10594380,高职高专工商管理系列教材：电子商务概论,大中专教材教辅,高职高专教材,2011/4/18,F,F
10594381,刘伟文集：改革与发展的经济学分析,经济,中国经济,2011/4/18,F,E
10594416,史学史读本,历史,史学理论,2011/4/18,E,E
10594516,变革社会中的公共行政：前瞻性行政研究,政治/军事,公共管理,2011/4/18,F,F
10594520,现代中国（第6辑）,社会科学,社会科学理论,2011/4/16,E,E
10594589,单片机原理及应用/21世纪全国高职高专机电类规划教材,大中专教材教辅,高职高专教材,2011/4/18,F,F
10594649,新青年读本：爱是难的，也是美的,青春文学,爱情/情感,2011/4/18,F,F
10594694,私法（第5辑）（第2卷）（总第10卷）,法律,国际法,2011/4/18,F,F
10594700,西洋近代政治思潮,政治/军事,世界政治,2011/4/18,F,F
10594708,国家地理阅读与写作训练 诞生石（英文版）,外语学习,英语读物,2011/4/19,F,F
10594747,仲裁法学（2006年版）（行政法专业本科）,大中专教材教辅,大学教材,2011/4/18,F,F
10594794,北大年选：2005散文卷,文学,作品集,2011/4/18,F,E
10594814,机械设计基础/面向21世纪全国高职高专机电类规划教材,大中专教材教辅,高职高专教材,2011/4/18,F,F
10594850,厦门大学管理学院系列教材：管理学（中国版）,大中专教材教辅,大学教材,2011/4/18,F,F
10594880,发展中国家与WTO法律制度研究,法律,国际法,2011/4/18,F,F
10594909,现代人力资源管理/普通高等教育“十一五”国家级规划教材,大中专教材教辅,大学教材,2011/4/18,F,F
10594924,计算机应用基础实训教程/21世纪全国高职高专计算机系列实用规划教材,大中专教材教辅,高职高专教材,2011/4/18,F,F
10595047,挑战日本语练习册：初级2,外语学习,日语,2011/4/18,F,F
10595089,知识产权年刊（2006年号）,法律,民法,2011/4/18,F,F
10595113,国家、地区和城市的知识资本,经济,经济学理论,2011/4/18,E,E
10595142,司考真题多维讲解（2007）（套装共8册）,法律,司法考试,2011/4/18,F,F
10595153,晚唐钟声：中国文学的原型批评（修订本）,文学,文学理论,2011/4/18,F,E
10595372,尚杰讲狄德罗,哲学/宗教,西方哲学,2011/4/18,E,F
10595375,韩礼德文集6：计算机与定量语言,社会科学,语言文字,2011/4/18,F,E
10595382,Eclipse与J2EE应用开发/21世纪全国高校应用人才培养信息技术类规划教材,大中专教材教辅,大学教材,2011/4/18,F,F
10595443,英美合同解除制度研究,法律,商法,2011/4/18,F,E
10595456,国外参考资源检索与利用,社会科学,新闻出版/档案管理,2011/4/18,F,F
10595513,中国现代通俗小说思辨录,文学,文学理论,2011/4/18,F,F
10599621,公关·礼仪·谈判,励志与成功,文明礼仪,2011/4/19,F,F
10625720,2011年司法考试重点、难点、疑点精解丛书·行政法学·行政诉讼法学卷（修订版）,法律,司法考试,2011/5/2,F,F
10639321,语言整合性描写与体系性词典学（下）,社会科学,语言文字,2011/5/16,F,F
10644871,儒家典籍与思想研究（第3辑）,哲学/宗教,中国哲学,2011/5/22,F,F
10657369,我国小学生思想道德教育中的国学教育研究,社会科学,教育,2011/6/2,F,F
10676704,当代文学的“历史化”,文学,文学评论与研究,2011/6/16,E,F
10750505,中国法制史,大中专教材教辅,大学教材,2011/8/29,F,F
10750545,中高级汉语视听说教程：中国城市名片（商务篇）（附光盘）,大中专教材教辅,大学教材,2011/8/29,F,F
10795015,高等工科院校教材：简明大学物理（上册）,大中专教材教辅,大学教材,2011/7/31,F,F
10795017,JSP应用开发项目化教程,大中专教材教辅,高职高专教材,2011/7/31,F,F
10795020,人类发展的概念与理论（第3版）,大中专教材教辅,大学教材,2011/7/31,F,F
10802535,科学素养文库·科学元典丛书：世界的和谐（彩色插图·超值珍藏）,科普读物,天文航天,2011/8/14,E,E
10806789,旅游写作实务,大中专教材教辅,高职高专教材,2011/8/28,F,F
10826758,采购实务/21世纪全国高职高专物流管理系列实用规划教材,大中专教材教辅,高职高专教材,2011/9/19,F,F
10831776,21世纪大学俄语系列教材：俄语视听说基础教程2,外语学习,俄语,2011/9/24,F,F
10831777,俄语6（全新版）,大中专教材教辅,大学教材,2011/9/24,F,F
10831836,金融学理论与实务,大中专教材教辅,大学教材,2011/9/23,E,F
10833637,刑事诉讼文化论,法律,诉讼法,2011/9/25,F,F
10833642,中国儒学史·清代卷,哲学/宗教,中国哲学,2011/9/26,E,E
10833673,仲裁法学（第2版）,大中专教材教辅,大学教材,2011/9/25,F,F
10841419,中国商事仲裁法律与实务,法律,诉讼法,2011/10/2,F,E
10845013,宪政与秩序,法律,理论法学,2011/10/13,F,F
10845042,中华古文论释林：明代上卷,文学,中国文学,2011/10/13,F,F
10851945,电子信息科学基础实验课程丛书：数字逻辑电路实验,大中专教材教辅,大学教材,2011/10/21,F,F
10859063,北大版新一代对外汉语教材·国别汉语教程系列：泰国人学汉语3（套装共2册）（附光盘）,大中专教材教辅,大学教材,2011/10/31,F,E
10866996,压路机运用与维护,大中专教材教辅,职业培训教材,2011/11/14,F,F
10867002,传统与现代：非洲文化与政治变迁,文化,文化理论,2011/11/14,F,F
10883591,我的科学小故事10：多种树的好处（注音版）,童书,科普/百科,2011/12/9,F,F
10893244,刑法规律与量刑实践：刑法现象的大样本考察,法律,刑法,2011/12/22,F,F
10907569,全国高职高专计算机立体化系列规划教材：数据结构及应用,大中专教材教辅,高职高专教材,2012/1/13,F,F
10907588,国家地质学基础科学研究和教学人才培养基地系列教材：灾害地质学（第2版）,大中专教材教辅,大学教材,2012/1/13,E,E
10907623,现代人力资源管理与发展/21世纪经济与管理精编教材·工商管理系列,大中专教材教辅,大学教材,2012/1/13,F,F
10907633,高职高专土建系列规划教材：建筑施工组织项目式教程（北大版）,大中专教材教辅,高职高专教材,2012/1/13,F,F
10916243,海归创业企业与民营企业对接合作与对比研究报告,管理,企业管理与培训,2012/2/3,F,E
10924745,全国高职高专规划教材·国际贸易系列：商务活动现场口语,大中专教材教辅,高职高专教材,2012/2/22,F,F
10934740,政府经济管理/21世纪经济与管理精编教材·工商管理系列,大中专教材教辅,大学教材,2012/3/1,F,F
10938872,数控机床故障诊断与维修/21世纪全国高职高专机电系列技能型规划教材,大中专教材教辅,高职高专教材,2012/3/12,F,F
10940469,21世纪经济与管理应用型本科规划教材·国际经济与贸易系列：外贸函电,大中专教材教辅,大学教材,2012/3/9,F,F
10956130,全国注册税务师执业资格考试辅导用书·2012年注册税务师考试考点荟萃及记忆锦囊：税法2,考试,注册税务师,- ,F,F
10957420,物流运输实务/21世纪全国高职高专物流管理系列实用规划教材,大中专教材教辅,高职高专教材,2012/3/29,F,F
10981605,城市轨道交通工程建设风险与保险,工业技术,交通运输,2012/5/14,F,F
11014705,最新日本语能力测试应对策略N2：文字/词汇·语法,外语学习,日语,2012/6/9,F,F
11014722,世上没有傻问题（第2版）,童书,科普/百科,2012/6/9,F,F
11015924,北大基础教育文库·新人文读本：小学中年级（春天卷）（第3版）,中小学教辅,中小学课外读物,2012/6/20,F,F
11020467,全国高等学校法学专业核心课程教材：刑事诉讼法（第4版）,大中专教材教辅,大学教材,2012/6/25,F,F
11042775,21世纪英语专业系列教材·普通高等教育“十二五”规划教材：《圣经》与西方文化,大中专教材教辅,大学教材,2012/7/16,F,E
11046508,全国本科院校机械类创新型应用人才培养规划教材：机械系统设计,大中专教材教辅,大学教材,2012/7/20,F,F
11053892,中国文化现代化的另类思想体系：以柏杨其人其文为考察中心,文化,文化评述,2012/8/6,F,F
11063598,21世纪全国高等院校财经管理系列实用规划教材：审计学,大中专教材教辅,大学教材,2012/8/13,F,F
11076916,理解美国：美国文化指南,文化,世界各国文化,2012/10/24,F,E
11082620,21世纪高职高专财经类能力本位型规划教材·国际贸易专业教学改革教材：国际贸易结算,大中专教材教辅,高职高专教材,2012/9/6,F,F
11082623,普通高等教育“十二五”规划教材·全国高职高专规划教材·财务会计系列：成本会计实务,大中专教材教辅,高职高专教材,2012/9/6,F,F
11082624,21世纪全国高职高专旅游系列规划教材·酒店管理专业系列：酒店管理理论与实务,大中专教材教辅,高职高专教材,2012/9/6,F,F
11086912,管理学实用教程,大中专教材教辅,大学教材,2012/9/14,F,F
11091825,21世纪全国高职高专艺术设计系列技能规划教材：字体设计,艺术,设计,2012/9/18,F,F
11116255,北京大学数学教学系列丛书·研究生数学基础课教材：风险理论,大中专教材教辅,大学教材,2012/11/6,F,E
11116260,走进NEW HSK：新汉语水平考试全真模拟试题及题解（4级1）,考试,汉语/小语种考试,2012/11/6,F,F
11125694,英语好学系列：读新闻 学英文（1）,外语学习,生活实用英语,2012/11/22,F,F
11139916,荔园文创书系：深圳文化产业品牌报告,管理,市场营销,2012/12/14,F,F
11141793,21世纪全国高职高专机电系列技能型规划教材：自动生产线调试与维护,大中专教材教辅,高职高专教材,2012/12/15,F,F
11155591,行政管理重点学科丛书·组织文化：基于组织效能的视角,管理,管理学,2013/1/2,F,F
11163518,高等院校教育学系列教材：高等教育经济学,大中专教材教辅,大学教材,2013/1/12,F,F
11166781,21世纪全国本科院校土木建筑类创新型应用人才培养规划教材：土木工程施工与管理,大中专教材教辅,大学教材,2013/1/19,F,E
11176949,玫瑰与石头,文学,散文/随笔/书信,2013/2/1,F,F
11184159,孩子必读的中华历史文化故事：近代卷,童书,科普/百科,2013/3/2,F,F
11184198,浙江省“十一五”高校重点教材·全国高职高专计算机立体化系列规划教材：计算机系统安全与维护,大中专教材教辅,高职高专教材,2013/3/2,F,F
11184225,法学精品课程系列教材·民商法学系列：证券法学（第2版）,大中专教材教辅,大学教材,2013/3/2,F,E
11188608,未名·过程思维丛书：怀特海的另类后现代哲学,哲学/宗教,哲学理论与流派,2013/3/11,F,F
11188626,21世纪经济与管理精编教材·工商管理系列·商务决策：模型与信息技术,大中专教材教辅,大学教材,2013/3/11,F,F
11188655,21世纪高职高专能力本位型系列规划教材·市场营销系列：市场营销学,大中专教材教辅,高职高专教材,2013/3/11,F,F
11204667,中国古代文化的特质,文化,文化研究,2013/3/26,F,F
11210067,北大版新HSK应试辅导丛书·新HSK（4级）：高分实战试卷6,考试,汉语/小语种考试,2013/3/31,F,E
11225053,未名社科·译言堂·商品美学批判：关注高科技资本主义社会的商品美学,哲学/宗教,美学,2013/4/26,F,E
11225058,21世纪全国本科院校土木建筑类创新型应用人才培养规划教材：土质学与土力学,大中专教材教辅,大学教材,2013/4/27,F,F
11231881,让学校改革卓有成效：实质性变革的新型伙伴关系,社会科学,教育,2013/5/11,F,F
11238623,北大知识产权评论（2013）,法律,法学文集,2013/5/19,F,F
11241894,虎头金粟影：维摩诘变相研究,历史,文物考古,2013/5/24,E,E
11252501,杜登德汉大词典（套装上下册）,字典词典/工具书,德语词典,2013/6/10,F,E
11255677,我的中国梦：吴建民口述实录,政治/军事,中国政治,2013/6/10,F,F
11272220,浙江省重点教材·21世纪高职高专能力本位型系列规划教材·经济贸易系列：国际海上货运代理实务,大中专教材教辅,高职高专教材,2013/7/5,E,F
11279202,“十二五”国家重点图书规划项目·俄罗斯汉学文库：国图藏俄罗斯汉学著作目录,历史,历史工具书,2013/7/19,F,E
11279540,普通高等教育“十二五”规划教材·全国高等高专规划教材·财务会计系列：新编税务会计（第2版）,大中专教材教辅,大学教材,2013/7/19,F,F
11297812,普通高等教育“十二五”规划教材·全国高等院校规划教材·旅游系列：北京模拟导游,大中专教材教辅,大学教材,2013/8/11,F,F
11310114,经济学基础（第2版）/黑龙江省省级精品课程配套教材·全国高职高专规划教材·财经系列,大中专教材教辅,高职高专教材,2013/8/31,F,F
11311104,教育学学程：模块化理念的教师行动与体验（第2版）/21世纪教育科学系列教材,大中专教材教辅,大学教材,2013/9/1,F,F
11311127,大学英语基础教程（3）（学生用书）（第3版）/“十二五”普通高等教育本科国家级规划教材（附MP3光盘1张）,大中专教材教辅,大学教材,2013/9/1,F,F
11315440,大学物理通用教程：热学（第2版）/普通高等教育“十一五”国家级规划教材,大中专教材教辅,大学教材,2013/9/6,F,E
11320442,机床电气控制与PLC技术/21世纪全国高职高专机电系列技能型规划教材,大中专教材教辅,高职高专教材,2013/9/14,F,F
11323601,中国旅游地理/21世纪全国高职高专旅游系列规划教材·旅游管理专业系列,大中专教材教辅,高职高专教材,2013/9/21,F,F
11337944,博物馆之旅：华东博物馆镇馆之宝,艺术,鉴赏收藏,2013/10/19,F,F
11343029,机械工程专业英语图解教程（第2版）/21世纪全国高职高专机电系列技能型规划教材,大中专教材教辅,高职高专教材,2013/10/29,F,F
11343038,语言学论丛：跨学科视角的话语分析研究,外语学习,外语教学/学术著作,2013/10/29,F,F
11344223,朱军荧屏悟语,社会科学,新闻出版/档案管理,2013/10/29,F,E
11344530,民法学/21世纪法学系列教材·民商法系列,大中专教材教辅,大学教材,2013/10/29,F,F
11351965,中国文化产业年度发展报告（2013）,文化,文化交流/文化产业,2013/11/10,F,E
11352256,经济学精选教材译丛：空间计量经济学导论,大中专教材教辅,大学教材,2013/11/10,F,D
11363710,南湖法学文库·侵权责任法论：制度诠释与理论探索,法律,理论法学,2013/11/29,F,F
11378043,批评理论与文学研究丛书·改革时代的中国现代主义：作为精神史的80年代,文化,文化理论,2013/12/21,F,E
11396076,自闭谱系障碍儿童早期干预丛书：如何发展自闭谱系障碍儿童的社会交往能力,社会科学,教育,2014/1/20,F,F
11422359,俄语1（修订版）学生用书,外语学习,俄语,2014/3/14,E,E
11427679,国际汉学研究通讯（第八期）,文化,传统文化,2014/3/21,F,E
11431457,现当代西方文化名家,大中专教材教辅,大学教材,2014/3/28,F,F
11431471,国际经贸英语阅读教程/21世纪全国高等院校财经管理系列实用规划教材·国际贸易系列,大中专教材教辅,大学教材,2014/3/28,F,F
11442160,统计计算,社会科学,统计学,2014/4/11,E,E
11446932,全球化社会中的语言教师教育：“知”“析”“识”“行”和“察”的模块模型,中小学教辅,教师用书,2014/4/18,E,F
11451777,公民廉洁教育丛书：中国公民教育与廉洁文化建设,政治/军事,中国政治,2014/4/27,F,F
11455145,室内空间设计与实训,建筑,室内设计、装饰装修,2014/5/4,F,E
11458359,梦想北大丛书：就这样考上北大（方法篇）,中小学教辅,学习方法/报考指南,2014/5/10,E,E
11466313,公共管理学（第二版）,政治/军事,公共管理,2014/5/25,E,E
11476640,德布罗意文选,科学与自然,自然科学丛书、文集、连续性出版物,2014/6/7,F,E
11489927,悖论研究,哲学/宗教,逻辑学,2014/6/29,F,E
11503165,公民廉洁教育丛书·以案施教的心灵警示：基于典型案例的公民廉洁教育研究,社会科学,社会科学丛书、文集、连续出版物,2014/7/19,F,F
11506964,文学“乡土”的地方精神,文学,文学理论,2014/7/25,F,E
11511819,超大规模集成电路分析与设计,大中专教材教辅,大学教材,2014/8/2,F,E
11525491,世界文化产业导论,大中专教材教辅,大学教材,2014/8/26,F,E
11531880,城市与区域认知实习教程,大中专教材教辅,大学教材,2014/8/28,F,F
11531953,赵鹏书画集,绘画,国画赏析,2014/8/28,F,F
11533211,美国在燃烧,社会科学,社会科学丛书、文集、连续出版物,2014/8/30,F,E
11537451,简明日汉口译训练教程,外语学习,日语,2014/9/11,F,F
11537453,视听新媒体导论,大中专教材教辅,大学教材,2014/9/11,F,E
11539918,三维机械设计项目教程（UG版）,大中专教材教辅,大学教材,2014/9/13,F,F
11539941,机械设计基础,大中专教材教辅,高职高专教材,2014/9/13,F,F
11545128,新理念数学教学论,大中专教材教辅,大学教材,2014/9/19,F,E
11550652,中国经济与资本市场纵横谈,经济,中国经济,2014/9/27,E,E
11560782,随机模拟方法与应用,大中专教材教辅,大学教材,2014/10/20,E,D
11568522,韩国语能力考试必备系列：TOPIK韩国语能力考试必备词汇突击训练（入门+初级）,考试,汉语/小语种考试,2014/10/31,F,F
11580782,PhotoShop CS5图形图像处理案例教程（第2版）,大中专教材教辅,高职高专教材,2014/11/21,F,F
11581060,美国大战略/大战略研究丛书,政治/军事,世界政治,2014/11/24,F,E
11593694,为师有道：对外汉语教师修炼指南,外语学习,对外汉语,2014/12/12,E,E
11598193,非营利组织管理/21世纪公共管理学系列教材,大中专教材教辅,大学教材,2014/12/22,F,E
11598201,微积分学习指导,大中专教材教辅,大学教材,2014/12/22,F,F
11606277,无为而治：设计自动运行的企业制度,经济,经济学理论,2015/1/2,E,E
11609157,自然生态保护：社区保护的脉络,社会科学,社区,2015/1/7,F,E
11612174,电影文化研究,艺术,影视,2015/1/9,F,E
11614378,全球化时代的比较文学,文学,文学理论,2015/1/10,E,E
11621092,中华美食与文化/21世纪全国高职高专旅游系列规划教材,大中专教材教辅,高职高专教材,2015/1/18,F,F
11631729,中外物理学精品书系·无尽的探索：超导前沿理论、实验和应用,科学与自然,物理学,2015/1/24,F,E
11631744,经学文献的衍生和通俗化——以近古时代的传刻为中心(套装上下册),文化,文化理论,2015/1/24,E,E
11645778,俄汉对照·缤纷俄语阅读1/21世纪大学俄语系列教材,外语学习,俄语,2015/2/3,F,F
11659722,增值税业务实训（第二版）,大中专教材教辅,大学教材,2015/3/10,F,F
11662927,悦读时光·图史系列：蒙元入侵前夜的中国日常生活（插图本）,历史,中国史,2015/3/20,E,E
11665985,工程经济与项目管理,大中专教材教辅,大学教材,2015/3/23,F,E
11667928,俄汉对照·缤纷俄语阅读3,大中专教材教辅,大学教材,2015/3/28,F,F
11679890,迦陵讲演集：唐宋词十七讲,文学,诗歌词曲,2015/4/26,D,C
11679893,心理咨询与心理治疗,大中专教材教辅,大学教材,2015/4/25,F,F
11679898,原典：日本文化论,大中专教材教辅,大学教材,2015/4/25,F,F
11684976,新编公共行政与公共管理学系列教材：行政管理案例分析,大中专教材教辅,大学教材,2015/5/10,F,E
11684978,婴幼儿的语言,社会科学,语言文字,2015/5/10,E,E
11711441,物流基础理论与技能,大中专教材教辅,高职高专教材,2015/6/19,F,F
11722905,人力资源管理实务（第2版）,大中专教材教辅,高职高专教材,2015/7/10,F,F
11725596,中华经典诗文诵读读本 小学篇2（第二版）,中小学教辅,中小学课外读物,2015/7/25,D,D
11737865,建筑工程计量与计价（第3版）,大中专教材教辅,高职高专教材,2015/7/31,F,E
11746783,房地产法（第五版）,大中专教材教辅,大学教材,2015/8/9,E,E
11754172,市场营销教程,大中专教材教辅,大学教材,2015/8/22,F,F
11754182,行为主义,心理学,生理心理学,2015/8/22,E,D
11754184,前厅服务与管理（第2版）,大中专教材教辅,高职高专教材,2015/8/22,F,F
11758460,C语言程序设计实验教程,大中专教材教辅,大学教材,2015/8/27,F,F
11758490,保护的责任：国际规范建构中的中国视角,政治/军事,世界政治,2015/8/30,F,F
11767429,环境法导论（第三版）,大中专教材教辅,大学教材,2015/9/15,E,E
11771311,房屋建筑构造习题集,大中专教材教辅,高职高专教材,2015/9/20,F,F
11771326,集装箱检验与维修,大中专教材教辅,高职高专教材,2015/9/20,F,F
11771345,中德私法研究（11）：占有的基本理论,法律,理论法学,2015/9/20,E,E
11776653,大学英语新题型水平测试（第二版）(上册),大中专教材教辅,大学教材,2015/9/28,F,F
11780095,伦理学是什么,哲学/宗教,伦理学,2015/10/15,E,D
11785428,法国商法典(上中下册),法律,外国法律与港澳台法律,2015/10/18,F,E
11798352,国际经济法学刊（第22卷第2期）（2015）,法律,经济法,2015/11/14,F,F
11803103,报关实务(第二版）,大中专教材教辅,大学教材,2015/11/21,F,F
11826136,历史学科知识与教学能力(初级中学),社会科学,教育,2015/12/12,F,F
11842040,形势与政策高级读本,大中专教材教辅,大学教材,2015/12/27,E,E
11851282,汽车机械基础教程(第3版),大中专教材教辅,高职高专教材,2016/1/12,F,F
11860076,罗马的文学与宗教:文化、语境和信仰,文化,地域文化,2016/1/22,E,E
11860084,司法与政治：中美法院预算过程比较研究,法律,理论法学,2016/1/22,F,F
11860197,晚清文人妇女观(增订本),历史,历史研究与评论,2016/1/22,E,E
11868154,产品设计表达,艺术,设计,2016/2/2,F,E
11876393,刑事法评论：不法评价的二元论,法律,刑法,2016/2/25,F,F
11876974,北大德国研究（第五卷）,社会科学,社会科学丛书、文集、连续出版物,2016/2/25,F,E
11880209,中国与东北亚文化交流志,文化,世界各国文化,2016/3/2,F,E
11887256,北大知识产权评论（2014/2015年卷）,法律,民法,2016/3/16,F,F
11902923,波斯语教程（一）（第二版）,外语学习,其他小语种,2016/4/10,F,E
11914354,国有股权行使和监管法律制度研究,法律,理论法学,2016/4/26,F,E
11918775,商事仲裁实务精要,法律,商法,2016/5/14,E,E
11922339,汉语音韵研究教程,大中专教材教辅,大学教材,2016/5/24,E,F
11927298,中国古代文体学论著集目(1900-2014),文学,中国文学,2016/5/7,F,E
11928275,政治结构分析,政治/军事,政治理论,2016/6/8,E,D
11943341,手绘喜马拉雅植物 博物文库 博物学经典丛书,科普读物,生物世界,2016/7/13,E,E
11948426,留学韩国语：一下/韩语能力考试必备系列,外语学习,韩语,2016/6/4,F,E
11954558,中国思想之渊源（插图版） 沙发图书馆,哲学/宗教,中国哲学,2016/6/23,E,D
11970773,国际贸易（第3版）,大中专教材教辅,大学教材,2016/9/11,F,F
11974249,公司治理 西方理论与中国实践,管理,管理学,2016/9/20,E,E
11981942,中国 我的第二故乡 巴勒斯坦前驻华大使穆斯塔法·萨法日尼口述,历史,中国史,2016/7/10,F,E
11984285,力学(物理类),大中专教材教辅,大学教材,2016/10/9,D,C
11989475,世界上最老最老的生命 博物文库·生态与文明系列,科普读物,生物世界,2016/10/16,E,D
11990689,合同法与侵权法中间领域调整模式研究——以制度互动的实证分析为中心,法律,商法,2016/10/19,F,E
11993458,建筑抗震与高层结构设计,大中专教材教辅,大学教材,2016/7/23,F,E
12029547,从后期到后期,摄影,后期处理,2017/1/22,E,C
12034610,唐诗宋词里的趣事,文化,文化研究,2016/9/20,D,D
12044514,梦圆北大 文科篇,中小学教辅,学习方法/报考指南,2016/10/9,E,E
